Número,Descripció,Test,Operació,URI,Entrada,Estat,Capçaleres,Sortida
1,Crea un tag nou,testCreateTag,POST,/tag,id=:tagname&description=DESCRIPTION,201 Created,Location: http://localhost/tag/:tagname,[]
2,Crea un tag nou,testCreateTag,POST,/tag,id=-tagname&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-tagname,[]
3,Crea un tag nou,testCreateTag,POST,/tag,id=_tagname&description=DESCRIPTION,201 Created,Location: http://localhost/tag/_tagname,[]
4,Crea un tag nou,testCreateTag,POST,/tag,id=-:_tagname&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-:_tagname,[]
5,Crea un tag nou,testCreateTag,POST,/tag,id=tagname:&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tagname:,[]
6,Crea un tag nou,testCreateTag,POST,/tag,id=tagname-&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tagname-,[]
7,Crea un tag nou,testCreateTag,POST,/tag,id=tagname_&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tagname_,[]
8,Crea un tag nou,testCreateTag,POST,/tag,id=-tagname:-_&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-tagname:-_,[]
9,Crea un tag nou,testCreateTag,POST,/tag,id=tag:name&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tag:name,[]
10,Crea un tag nou,testCreateTag,POST,/tag,id=tag-name&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tag-name,[]
11,Crea un tag nou,testCreateTag,POST,/tag,id=tag_name&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tag_name,[]
12,Crea un tag nou,testCreateTag,POST,/tag,id=tag:-_name&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tag:-_name,[]
13,Crea un tag nou,testCreateTag,POST,/tag,id=-t-a-g-n-a-m-e&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-t-a-g-n-a-m-e,[]
14,Crea un tag nou,testCreateTag,POST,/tag,id=_t_a_g_n_a_m_e&description=DESCRIPTION,201 Created,Location: http://localhost/tag/_t_a_g_n_a_m_e,[]
15,Crea un tag nou,testCreateTag,POST,/tag,id=:t:a:g:n:a:m:e&description=DESCRIPTION,201 Created,Location: http://localhost/tag/:t:a:g:n:a:m:e,[]
16,Crea un tag nou,testCreateTag,POST,/tag,id=t-a-g-n-a-m-e-&description=DESCRIPTION,201 Created,Location: http://localhost/tag/t-a-g-n-a-m-e-,[]
17,Crea un tag nou,testCreateTag,POST,/tag,id=t_a_g_n_a_m_e_&description=DESCRIPTION,201 Created,Location: http://localhost/tag/t_a_g_n_a_m_e_,[]
18,Crea un tag nou,testCreateTag,POST,/tag,id=t:a:g:n:a:m:e:&description=DESCRIPTION,201 Created,Location: http://localhost/tag/t:a:g:n:a:m:e:,[]
19,Crea un tag nou,testCreateTag,POST,/tag,id=-t-a-g-n-a-m-e-&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-t-a-g-n-a-m-e-,[]
20,Crea un tag nou,testCreateTag,POST,/tag,id=_t_a_g_n_a_m_e_&description=DESCRIPTION,201 Created,Location: http://localhost/tag/_t_a_g_n_a_m_e_,[]
21,Crea un tag nou,testCreateTag,POST,/tag,id=:t:a:g:n:a:m:e:&description=DESCRIPTION,201 Created,Location: http://localhost/tag/:t:a:g:n:a:m:e:,[]
22,Crea un tag nou,testCreateTag,POST,/tag,id=-t:a_gname&description=DESCRIPTION,201 Created,Location: http://localhost/tag/-t:a_gname,[]
23,Crea un tag nou,testCreateTag,POST,/tag,id=tag_n-a:m_e&description=DESCRIPTION,201 Created,Location: http://localhost/tag/tag_n-a:m_e,[]
24,Crea un tag nou,testCreateTag,POST,/tag,id=t:agna_m-e:&description=DESCRIPTION,201 Created,Location: http://localhost/tag/t:agna_m-e:,[]
25,No crea un tag nou amb -,testCreateInvalidTag,POST,/tag,id=-&description=DESCRIPTION,400 Bad Request,,[]
26,No crea un tag nou amb molts -,testCreateInvalidTag,POST,/tag,id=---&description=DESCRIPTION,400 Bad Request,,[]
27,No crea un tag nou amb _,testCreateInvalidTag,POST,/tag,id=_&description=DESCRIPTION,400 Bad Request,,[]
28,No crea un tag nou amb molts _,testCreateInvalidTag,POST,/tag,id=___________&description=DESCRIPTION,400 Bad Request,,[]
29,No crea un tag nou amb :,testCreateInvalidTag,POST,/tag,id=:&description=DESCRIPTION,400 Bad Request,,[]
30,No crea un tag nou amb molts :,testCreateInvalidTag,POST,/tag,id=:::::::::&description=DESCRIPTION,400 Bad Request,,[]
31,No crea un tag nou amb res,testCreateInvalidTag,POST,/tag,id=&description=DESCRIPTION,400 Bad Request,,[]
32,No crea un tag nou amb espai,testCreateInvalidTag,POST,/tag,id= tagname&description=DESCRIPTION,400 Bad Request,,[]
33,No crea un tag nou amb espai,testCreateInvalidTag,POST,/tag,id=tag name&description=DESCRIPTION,400 Bad Request,,[]
34,No crea un tag nou amb espai,testCreateInvalidTag,POST,/tag,id=tagname &description=DESCRIPTION,400 Bad Request,,[]
35,"No crea un tag nou amb ,",testCreateInvalidTag,POST,/tag,"id=,tagname&description=DESCRIPTION",400 Bad Request,,[]
36,"No crea un tag nou amb ,",testCreateInvalidTag,POST,/tag,"id=tag,name&description=DESCRIPTION",400 Bad Request,,[]
37,"No crea un tag nou amb ,",testCreateInvalidTag,POST,/tag,"id=tagname,&description=DESCRIPTION",400 Bad Request,,[]
38,No crea un tag nou amb +,testCreateInvalidTag,POST,/tag,id=+tagname&description=DESCRIPTION,400 Bad Request,,[]
39,No crea un tag nou amb +,testCreateInvalidTag,POST,/tag,id=tag+name&description=DESCRIPTION,400 Bad Request,,[]
40,No crea un tag nou amb +,testCreateInvalidTag,POST,/tag,id=tagname+&description=DESCRIPTION,400 Bad Request,,[]
41,No crea un tag nou amb *,testCreateInvalidTag,POST,/tag,id=*tagname&description=DESCRIPTION,400 Bad Request,,[]
42,No crea un tag nou amb *,testCreateInvalidTag,POST,/tag,id=tag*name&description=DESCRIPTION,400 Bad Request,,[]
43,No No crea un tag nou amb amb *,testCreateInvalidTag,POST,/tag,id=tagname*&description=DESCRIPTION,400 Bad Request,,[]
44,No crea un tag nou amb !,testCreateInvalidTag,POST,/tag,id=!tagname&description=DESCRIPTION,400 Bad Request,,[]
45,No crea un tag nou amb !,testCreateInvalidTag,POST,/tag,id=tag!name&description=DESCRIPTION,400 Bad Request,,[]
46,No No crea un tag nou amb amb !,testCreateInvalidTag,POST,/tag,id=tagname!&description=DESCRIPTION,400 Bad Request,,[]
47,"No crea un tag nou amb """,testCreateInvalidTag,POST,/tag,"id=""tagname&description=DESCRIPTION",400 Bad Request,,[]
48,"No crea un tag nou amb """,testCreateInvalidTag,POST,/tag,"id=tag""name&description=DESCRIPTION",400 Bad Request,,[]
49,"No crea un tag nou amb """,testCreateInvalidTag,POST,/tag,"id=tagname""&description=DESCRIPTION",400 Bad Request,,[]
50,No crea un tag nou amb ·,testCreateInvalidTag,POST,/tag,id=·tagname&description=DESCRIPTION,400 Bad Request,,[]
51,No crea un tag nou amb ·,testCreateInvalidTag,POST,/tag,id=tag·name&description=DESCRIPTION,400 Bad Request,,[]
52,No No crea un tag nou amb amb ·,testCreateInvalidTag,POST,/tag,id=tagname·&description=DESCRIPTION,400 Bad Request,,[]
53,No crea un tag nou amb $,testCreateInvalidTag,POST,/tag,id=$tagname&description=DESCRIPTION,400 Bad Request,,[]
54,No crea un tag nou amb $,testCreateInvalidTag,POST,/tag,id=tag$name&description=DESCRIPTION,400 Bad Request,,[]
55,No crea un tag nou amb $,testCreateInvalidTag,POST,/tag,id=tagname$&description=DESCRIPTION,400 Bad Request,,[]
56,No crea un tag nou amb %,testCreateInvalidTag,POST,/tag,id=%tagname&description=DESCRIPTION,400 Bad Request,,[]
57,No crea un tag nou amb %,testCreateInvalidTag,POST,/tag,id=tag%name&description=DESCRIPTION,400 Bad Request,,[]
